021-07-07 13:18:48,200 - DEBUG - Using function toMarkdown
2021-07-09 16:23:30,949 - DEBUG - Using function toMarkdown
2021-07-09 20:54:59,692 - DEBUG - Using function toMarkdown
2021-07-10 12:28:25,559 - DEBUG - Using function toMarkdown
2021-07-10 13:09:42,811 - DEBUG - Using function toMarkdown
2021-07-10 13:20:36,684 - DEBUG - Using function toMarkdown
2021-07-10 13:23:17,798 - DEBUG - Using function toMarkdown
2021-07-11 14:52:08,903 - DEBUG - Using function toMarkdown
2021-07-12 13:51:08,602 - DEBUG - Using function toMarkdown
2021-07-12 14:30:25,495 - DEBUG - Using function toMarkdown
2021-07-12 20:49:43,642 - DEBUG - Using function toMarkdown
2021-07-13 18:24:37,500 - DEBUG - Using function toMarkdown
2021-07-14 11:00:04,088 - DEBUG - Using function toMarkdown
2021-07-15 11:12:28,374 - DEBUG - Using function toMarkdown
2021-07-15 11:28:12,394 - INFO - Adding user JenniferAshMorrison to the users database
2021-07-15 11:28:30,833 - DEBUG - Using function parseText
2021-07-15 11:28:30,833 - DEBUG - Using function getCurrency
2021-07-15 11:28:30,834 - DEBUG - Using function getAmount
2021-07-15 11:28:30,834 - DEBUG - Using function getType
2021-07-15 11:28:30,834 - DEBUG - Using function getCurrency
2021-07-15 11:28:30,834 - DEBUG - Using function checkCompletion
2021-07-15 11:28:30,834 - INFO - Missing: ['amount', 'receipt']
2021-07-15 11:32:30,418 - DEBUG - Using function saveDocument
2021-07-15 11:32:30,970 - DEBUG - Using function checkCompletion
2021-07-15 11:32:30,970 - INFO - Missing: ['amount']
2021-07-15 11:32:30,971 - DEBUG - Using function parseText
2021-07-15 11:32:30,971 - DEBUG - Using function getCurrency
2021-07-15 11:32:30,971 - DEBUG - Using function getAmount
2021-07-15 11:32:30,971 - DEBUG - Using function getType
2021-07-15 11:32:30,972 - DEBUG - Using function getCurrency
2021-07-15 11:32:30,972 - DEBUG - Using function checkCompletion
2021-07-15 11:32:30,972 - INFO - Expense data is complete. Ready for database injection.
2021-07-15 11:32:30,972 - DEBUG - Using function injectData
2021-07-15 11:32:30,975 - INFO - Expense 4a909d54-62a9-421d-85d6-cdfddc9803b9 added to the databse for user JenniferAshMorrison
2021-07-15 15:23:52,173 - DEBUG - Using function toMarkdown
2021-07-15 23:09:06,835 - INFO - Adding user thedropper to the users database
2021-07-15 23:09:07,989 - ERROR - Error when creating user's folder. User: thedropper
2021-07-16 12:06:37,217 - INFO - Initialising the classes
2021-07-16 12:06:37,219 - INFO - Starting the bot
2021-07-16 12:06:37,221 - INFO - Starting the server
2021-07-16 12:06:37,362 - INFO - Server started
2021-07-16 12:10:33,578 - INFO - Initialising the classes
2021-07-16 12:10:33,580 - INFO - Starting the bot
2021-07-16 12:10:33,582 - INFO - Starting the server
2021-07-16 12:10:33,734 - INFO - Server started
2021-07-16 12:15:14,718 - INFO - Initialising the classes
2021-07-16 12:15:14,719 - INFO - Starting the bot
2021-07-16 12:15:14,721 - INFO - Starting the server
2021-07-16 12:15:14,858 - INFO - Server started
2021-07-16 12:20:02,053 - DEBUG - Using function parseText
2021-07-16 12:20:02,053 - DEBUG - Using function getCurrency
2021-07-16 12:20:02,054 - DEBUG - Using function getAmount
2021-07-16 12:20:02,054 - DEBUG - Using function getType
2021-07-16 12:20:02,054 - DEBUG - Using function getCurrency
2021-07-16 12:20:02,054 - DEBUG - Using function checkCompletion
2021-07-16 12:20:02,054 - INFO - Missing: ['amount', 'reason', 'receipt']
2021-07-16 12:20:05,765 - DEBUG - Using function parseText
2021-07-16 12:20:05,765 - DEBUG - Using function getCurrency
2021-07-16 12:20:05,766 - DEBUG - Using function getAmount
2021-07-16 12:20:05,766 - DEBUG - Using function getType
2021-07-16 12:20:05,766 - DEBUG - Using function getCurrency
2021-07-16 12:20:05,766 - DEBUG - Using function checkCompletion
2021-07-16 12:20:05,766 - INFO - Missing: ['amount', 'reason', 'receipt']
2021-07-16 15:49:13,579 - INFO - Initialising the classes
2021-07-16 15:49:13,581 - INFO - Starting the bot
2021-07-16 15:49:13,585 - INFO - Starting the server
2021-07-16 15:49:13,729 - INFO - Server started
2021-07-16 15:54:16,789 - INFO - Initialising the classes
2021-07-16 15:54:16,791 - INFO - Starting the bot
2021-07-16 15:54:16,799 - INFO - Starting the server
2021-07-16 15:54:16,939 - INFO - Server started
2021-07-16 15:59:04,836 - INFO - Initialising the classes
2021-07-16 15:59:04,838 - INFO - Starting the bot
2021-07-16 15:59:04,840 - INFO - Starting the server
2021-07-16 15:59:04,978 - INFO - Server started
2021-07-16 15:59:53,309 - INFO - Initialising the classes
2021-07-16 15:59:53,310 - INFO - Starting the bot
2021-07-16 15:59:53,312 - INFO - Starting the server
2021-07-16 15:59:53,818 - INFO - Server started
2021-07-16 16:01:58,955 - INFO - Initialising the classes
2021-07-16 16:01:58,956 - INFO - Starting the bot
2021-07-16 16:01:58,958 - INFO - Starting the server
2021-07-16 16:01:59,094 - INFO - Server started
2021-07-16 16:02:46,555 - INFO - Initialising the classes
2021-07-16 16:02:46,556 - INFO - Starting the bot
2021-07-16 16:02:46,559 - INFO - Starting the server
2021-07-16 16:02:46,701 - INFO - Server started
2021-07-16 16:04:05,301 - INFO - Initialising the classes
2021-07-16 16:04:05,302 - INFO - Starting the bot
2021-07-16 16:04:05,304 - INFO - Starting the server
2021-07-16 16:04:05,447 - INFO - Server started
2021-07-16 16:08:58,826 - INFO - Initialising the classes
2021-07-16 16:08:58,827 - INFO - Starting the bot
